CustomerID,order_count,total_quantity,total_spend,avg_unit_price,avg_basket_size,active_months,shopping_hour_mean,weekend_purchase_ratio,dominant_country,customer_lifespan_days,recency_days,scaled_order_count,scaled_total_quantity,scaled_total_spend,scaled_avg_unit_price,scaled_avg_basket_size,scaled_active_months,scaled_shopping_hour_mean,scaled_weekend_purchase_ratio,scaled_customer_lifespan_days,scaled_recency_days,pca_1,pca_2,pca_3,spend_segment,frequency_segment,recency_segment
12346,1,74215,77183.6,1.04,74215.0,1,10.0,0.0,United Kingdom,0,325,-0.4250965025587132,14.4808251006238,8.363010369638731,-0.10028389258941645,61.63879715565492,-0.7771653688605112,-1.3430267986490159,-0.47232290469686866,-0.9880647720874756,2.3345741373435525,13.19851004610586,37.762208524347784,5.052572337283344,High,Rare,Dormant
12347,7,2458,4310.0,2.644010989010989,13.505494505494505,6,12.192307692307692,0.0,Iceland,365,1,0.35441679662391234,0.25190279948703814,0.25169890463901645,-0.05339817699438707,-0.026240442058807326,1.210420629321836,-0.19572515869920037,-0.47232290469686866,1.7765770783561585,-0.9053403195403357,1.8845058074857766,-1.166236742163482,-0.5582817798912694,High,Frequent,Fresh
12348,4,2341,1797.24,5.764838709677419,75.51612903225806,4,15.225806451612904,0.0967741935483871,Finland,282,74,-0.03533985296740041,0.22870249973603124,-0.02798782686310067,0.037824540265468075,0.025293400150635054,0.41538623004889713,1.391797484015741,-0.12613865955692988,1.1479050959265102,-0.17535959314365723,0.7277897036767624,-0.622355333440666,0.8231986391132383,High,Regular,Active
12349,1,631,1757.55,8.289041095890411,8.643835616438356,1,9.0,0.0,Italy,0,18,-0.4250965025587132,-0.1103788043171463,-0.03240558517400941,0.11160772254731095,-0.030280716182379156,-0.7771653688605112,-1.866357371257704,-0.47232290469686866,-0.9880647720874756,-0.7353448079137119,-0.7517442859432109,0.4250347848819836,-1.5075810982450768,High,Rare,Fresh
12350,1,197,334.4,3.841176470588235,11.588235294117647,1,16.0,0.0,Norway,0,309,-0.4250965025587132,-0.1964380358721633,-0.19081154990491803,-0.018404675906201814,-0.027833777370205433,-0.7771653688605112,1.7969566370031118,-0.47232290469686866,-0.9880647720874756,2.1745783616949654,-1.7366497730705326,1.2522212444146716,0.8924718774083511,Low,Rare,Dormant
12352,8,536,2506.04,15.93070588235294,6.305882352941176,4,14.035294117647059,0.0,Norway,260,35,0.4843356798210166,-0.12921665454232284,0.05090627973231655,0.33497584427791494,-0.032223668637124864,0.41538623004889713,0.7687659825836896,-0.47232290469686866,0.981269148776483,-0.5653492962870882,0.8991084184910275,-0.7824529688250647,0.14315437088938565,High,Frequent,Active
12353,1,20,89.0,6.074999999999999,5.0,1,17.0,0.0,Bahrain,0,203,-0.4250965025587132,-0.23153592523907116,-0.2181261855687377,0.04689064651179642,-0.03330892015300027,-0.7771653688605112,2.3202872096118,-0.47232290469686866,-0.9880647720874756,1.114606348023076,-1.4897778732417162,0.7669920543011375,1.3098094651432748,Low,Rare,Dormant
12354,1,530,1079.4,4.5037931034482765,9.137931034482758,1,13.0,0.0,Spain,0,231,-0.4250965025587132,-0.13040641350391294,-0.1078881449760441,0.0009638042411614869,-0.029870098947057694,-0.7771653688605112,0.22696491917704797,-0.47232290469686866,-0.9880647720874756,1.3945989554081033,-1.4226450270381357,1.1029737096739471,-0.1572844039580245,Medium,Rare,Dormant
12355,1,240,459.4,4.203846153846154,18.46153846153846,1,13.0,0.0,Bahrain,0,213,-0.4250965025587132,-0.18791142998076762,-0.17689822693027474,-0.007803733805016689,-0.022121729370847353,-0.7771653688605112,0.22696491917704797,-0.47232290469686866,-0.9880647720874756,1.2146037078034428,-1.4253870462989457,0.9770398251542816,-0.1556988557773484,Medium,Rare,Dormant
12356,3,1591,2811.43,3.201186440677966,26.966101694915253,3,10.033898305084746,0.0,Portugal,302,22,-0.16525873616450468,0.07998262953726916,0.08489819735812702,-0.037111773757525605,-0.015054025208911907,0.01786903041242768,-1.325286779238552,-0.47232290469686866,1.2993923206083533,-0.6953458640015652,0.744340541577905,-0.6097068764041914,-1.2843719410279888,High,Regular,Fresh
